product_id,product_name,category,price,brand,model,connectivity,battery_life,water_resistance,description
301,Smartwatch 301,smartwatch,34330.8,BrandX,Model N52,Bluetooth,36 hours,False,"BrandX Smartwatch 301 with Bluetooth RAM, 36 hours storage, and a False battery."
302,Smartwatch 302,smartwatch,39978.4,BrandI,Model K95,Bluetooth,36 hours,False,"BrandI Smartwatch 302 with Bluetooth RAM, 36 hours storage, and a False battery."
303,Smartwatch 303,smartwatch,23354.8,BrandV,Model O33,Bluetooth,24 hours,True,"BrandV Smartwatch 303 with Bluetooth RAM, 24 hours storage, and a True battery."
304,Smartwatch 304,smartwatch,99122.8,BrandX,Model S6,Wi-Fi,48 hours,True,"BrandX Smartwatch 304 with Wi-Fi RAM, 48 hours storage, and a True battery."
305,Smartwatch 305,smartwatch,340863.6,BrandH,Model B96,Bluetooth,24 hours,True,"BrandH Smartwatch 305 with Bluetooth RAM, 24 hours storage, and a True battery."
306,Smartwatch 306,smartwatch,186900.0,BrandZ,Model J30,Bluetooth,36 hours,False,"BrandZ Smartwatch 306 with Bluetooth RAM, 36 hours storage, and a False battery."
307,Smartwatch 307,smartwatch,355269.6,BrandE,Model I3,Bluetooth,36 hours,False,"BrandE Smartwatch 307 with Bluetooth RAM, 36 hours storage, and a False battery."
308,Smartwatch 308,smartwatch,261200.8,BrandR,Model G83,Bluetooth,24 hours,True,"BrandR Smartwatch 308 with Bluetooth RAM, 24 hours storage, and a True battery."
309,Smartwatch 309,smartwatch,112022.4,BrandV,Model Y46,Bluetooth,36 hours,False,"BrandV Smartwatch 309 with Bluetooth RAM, 36 hours storage, and a False battery."
310,Smartwatch 310,smartwatch,30508.8,BrandW,Model H37,Bluetooth,36 hours,False,"BrandW Smartwatch 310 with Bluetooth RAM, 36 hours storage, and a False battery."
311,Smartwatch 311,smartwatch,130001.2,BrandR,Model G67,Wi-Fi,48 hours,True,"BrandR Smartwatch 311 with Wi-Fi RAM, 48 hours storage, and a True battery."
312,Smartwatch 312,smartwatch,77484.4,BrandI,Model C96,Wi-Fi,48 hours,True,"BrandI Smartwatch 312 with Wi-Fi RAM, 48 hours storage, and a True battery."
313,Smartwatch 313,smartwatch,295150.8,BrandQ,Model W27,Bluetooth,24 hours,True,"BrandQ Smartwatch 313 with Bluetooth RAM, 24 hours storage, and a True battery."
314,Smartwatch 314,smartwatch,345800.0,BrandS,Model L23,Bluetooth,36 hours,False,"BrandS Smartwatch 314 with Bluetooth RAM, 36 hours storage, and a False battery."
315,Smartwatch 315,smartwatch,289716.0,BrandB,Model V10,Bluetooth,24 hours,True,"BrandB Smartwatch 315 with Bluetooth RAM, 24 hours storage, and a True battery."
316,Smartwatch 316,smartwatch,268590.0,BrandQ,Model P29,Wi-Fi,48 hours,True,"BrandQ Smartwatch 316 with Wi-Fi RAM, 48 hours storage, and a True battery."
317,Smartwatch 317,smartwatch,391585.6,BrandI,Model A83,Bluetooth,24 hours,True,"BrandI Smartwatch 317 with Bluetooth RAM, 24 hours storage, and a True battery."
318,Smartwatch 318,smartwatch,278138.0,BrandW,Model K18,Bluetooth,24 hours,True,"BrandW Smartwatch 318 with Bluetooth RAM, 24 hours storage, and a True battery."
319,Smartwatch 319,smartwatch,240536.8,BrandI,Model E70,Wi-Fi,48 hours,True,"BrandI Smartwatch 319 with Wi-Fi RAM, 48 hours storage, and a True battery."
320,Smartwatch 320,smartwatch,222936.0,BrandJ,Model Q74,Wi-Fi,48 hours,True,"BrandJ Smartwatch 320 with Wi-Fi RAM, 48 hours storage, and a True battery."
321,Smartwatch 321,smartwatch,25356.8,BrandY,Model X89,Bluetooth,36 hours,False,"BrandY Smartwatch 321 with Bluetooth RAM, 36 hours storage, and a False battery."
322,Smartwatch 322,smartwatch,237020.0,BrandS,Model F6,Bluetooth,24 hours,True,"BrandS Smartwatch 322 with Bluetooth RAM, 24 hours storage, and a True battery."
323,Smartwatch 323,smartwatch,233744.0,BrandM,Model G100,Bluetooth,24 hours,True,"BrandM Smartwatch 323 with Bluetooth RAM, 24 hours storage, and a True battery."
324,Smartwatch 324,smartwatch,396054.4,BrandC,Model O86,Bluetooth,36 hours,False,"BrandC Smartwatch 324 with Bluetooth RAM, 36 hours storage, and a False battery."
325,Smartwatch 325,smartwatch,125174.0,BrandS,Model Y43,Bluetooth,36 hours,False,"BrandS Smartwatch 325 with Bluetooth RAM, 36 hours storage, and a False battery."
326,Smartwatch 326,smartwatch,86276.4,BrandD,Model B41,Bluetooth,24 hours,True,"BrandD Smartwatch 326 with Bluetooth RAM, 24 hours storage, and a True battery."
327,Smartwatch 327,smartwatch,312956.0,BrandY,Model I22,Bluetooth,36 hours,False,"BrandY Smartwatch 327 with Bluetooth RAM, 36 hours storage, and a False battery."
328,Smartwatch 328,smartwatch,42770.0,BrandJ,Model I12,Bluetooth,24 hours,True,"BrandJ Smartwatch 328 with Bluetooth RAM, 24 hours storage, and a True battery."
329,Smartwatch 329,smartwatch,143452.4,BrandS,Model K43,Bluetooth,36 hours,False,"BrandS Smartwatch 329 with Bluetooth RAM, 36 hours storage, and a False battery."
330,Smartwatch 330,smartwatch,255945.2,BrandI,Model W7,Bluetooth,36 hours,False,"BrandI Smartwatch 330 with Bluetooth RAM, 36 hours storage, and a False battery."
331,Smartwatch 331,smartwatch,39886.0,BrandW,Model V94,Wi-Fi,48 hours,True,"BrandW Smartwatch 331 with Wi-Fi RAM, 48 hours storage, and a True battery."
332,Smartwatch 332,smartwatch,372738.8,BrandQ,Model Q46,Bluetooth,36 hours,False,"BrandQ Smartwatch 332 with Bluetooth RAM, 36 hours storage, and a False battery."
333,Smartwatch 333,smartwatch,142562.0,BrandX,Model W48,Wi-Fi,48 hours,True,"BrandX Smartwatch 333 with Wi-Fi RAM, 48 hours storage, and a True battery."
334,Smartwatch 334,smartwatch,343137.2,BrandE,Model P25,Bluetooth,36 hours,False,"BrandE Smartwatch 334 with Bluetooth RAM, 36 hours storage, and a False battery."
335,Smartwatch 335,smartwatch,323943.2,BrandO,Model D87,Bluetooth,36 hours,False,"BrandO Smartwatch 335 with Bluetooth RAM, 36 hours storage, and a False battery."
336,Smartwatch 336,smartwatch,405624.8,BrandR,Model T56,Bluetooth,36 hours,False,"BrandR Smartwatch 336 with Bluetooth RAM, 36 hours storage, and a False battery."
337,Smartwatch 337,smartwatch,391913.2,BrandD,Model Y20,Wi-Fi,48 hours,True,"BrandD Smartwatch 337 with Wi-Fi RAM, 48 hours storage, and a True battery."
338,Smartwatch 338,smartwatch,32583.6,BrandB,Model W41,Bluetooth,36 hours,False,"BrandB Smartwatch 338 with Bluetooth RAM, 36 hours storage, and a False battery."
339,Smartwatch 339,smartwatch,194031.6,BrandA,Model E95,Bluetooth,24 hours,True,"BrandA Smartwatch 339 with Bluetooth RAM, 24 hours storage, and a True battery."
340,Smartwatch 340,smartwatch,94155.6,BrandV,Model Q78,Bluetooth,24 hours,True,"BrandV Smartwatch 340 with Bluetooth RAM, 24 hours storage, and a True battery."
341,Smartwatch 341,smartwatch,68922.0,BrandY,Model H5,Bluetooth,36 hours,False,"BrandY Smartwatch 341 with Bluetooth RAM, 36 hours storage, and a False battery."
342,Smartwatch 342,smartwatch,296385.6,BrandP,Model U83,Wi-Fi,48 hours,True,"BrandP Smartwatch 342 with Wi-Fi RAM, 48 hours storage, and a True battery."
343,Smartwatch 343,smartwatch,215622.4,BrandD,Model D6,Bluetooth,36 hours,False,"BrandD Smartwatch 343 with Bluetooth RAM, 36 hours storage, and a False battery."
344,Smartwatch 344,smartwatch,266912.8,BrandS,Model B96,Wi-Fi,48 hours,True,"BrandS Smartwatch 344 with Wi-Fi RAM, 48 hours storage, and a True battery."
345,Smartwatch 345,smartwatch,185827.6,BrandH,Model E93,Bluetooth,36 hours,False,"BrandH Smartwatch 345 with Bluetooth RAM, 36 hours storage, and a False battery."
346,Smartwatch 346,smartwatch,287280.0,BrandD,Model Q82,Wi-Fi,48 hours,True,"BrandD Smartwatch 346 with Wi-Fi RAM, 48 hours storage, and a True battery."
347,Smartwatch 347,smartwatch,151790.8,BrandR,Model W2,Wi-Fi,48 hours,True,"BrandR Smartwatch 347 with Wi-Fi RAM, 48 hours storage, and a True battery."
348,Smartwatch 348,smartwatch,272330.8,BrandL,Model R62,Bluetooth,36 hours,False,"BrandL Smartwatch 348 with Bluetooth RAM, 36 hours storage, and a False battery."
349,Smartwatch 349,smartwatch,400601.6,BrandM,Model I20,Wi-Fi,48 hours,True,"BrandM Smartwatch 349 with Wi-Fi RAM, 48 hours storage, and a True battery."
350,Smartwatch 350,smartwatch,56618.8,BrandN,Model P77,Bluetooth,36 hours,False,"BrandN Smartwatch 350 with Bluetooth RAM, 36 hours storage, and a False battery."
351,Smartwatch 351,smartwatch,123491.2,BrandP,Model P88,Wi-Fi,48 hours,True,"BrandP Smartwatch 351 with Wi-Fi RAM, 48 hours storage, and a True battery."
352,Smartwatch 352,smartwatch,281005.2,BrandX,Model E4,Wi-Fi,48 hours,True,"BrandX Smartwatch 352 with Wi-Fi RAM, 48 hours storage, and a True battery."
353,Smartwatch 353,smartwatch,57190.0,BrandU,Model M10,Bluetooth,36 hours,False,"BrandU Smartwatch 353 with Bluetooth RAM, 36 hours storage, and a False battery."
354,Smartwatch 354,smartwatch,41636.0,BrandO,Model N7,Bluetooth,24 hours,True,"BrandO Smartwatch 354 with Bluetooth RAM, 24 hours storage, and a True battery."
355,Smartwatch 355,smartwatch,258888.0,BrandL,Model K11,Bluetooth,36 hours,False,"BrandL Smartwatch 355 with Bluetooth RAM, 36 hours storage, and a False battery."
356,Smartwatch 356,smartwatch,154624.4,BrandW,Model J60,Bluetooth,36 hours,False,"BrandW Smartwatch 356 with Bluetooth RAM, 36 hours storage, and a False battery."
357,Smartwatch 357,smartwatch,266131.6,BrandP,Model K16,Bluetooth,36 hours,False,"BrandP Smartwatch 357 with Bluetooth RAM, 36 hours storage, and a False battery."
358,Smartwatch 358,smartwatch,262001.6,BrandA,Model N2,Bluetooth,24 hours,True,"BrandA Smartwatch 358 with Bluetooth RAM, 24 hours storage, and a True battery."
359,Smartwatch 359,smartwatch,195490.4,BrandF,Model X64,Bluetooth,24 hours,True,"BrandF Smartwatch 359 with Bluetooth RAM, 24 hours storage, and a True battery."
360,Smartwatch 360,smartwatch,105691.6,BrandI,Model V31,Wi-Fi,48 hours,True,"BrandI Smartwatch 360 with Wi-Fi RAM, 48 hours storage, and a True battery."
361,Smartwatch 361,smartwatch,198623.6,BrandV,Model J81,Bluetooth,36 hours,False,"BrandV Smartwatch 361 with Bluetooth RAM, 36 hours storage, and a False battery."
362,Smartwatch 362,smartwatch,134890.0,BrandK,Model I99,Bluetooth,36 hours,False,"BrandK Smartwatch 362 with Bluetooth RAM, 36 hours storage, and a False battery."
363,Smartwatch 363,smartwatch,209672.4,BrandR,Model L99,Bluetooth,24 hours,True,"BrandR Smartwatch 363 with Bluetooth RAM, 24 hours storage, and a True battery."
364,Smartwatch 364,smartwatch,316464.4,BrandZ,Model F16,Bluetooth,36 hours,False,"BrandZ Smartwatch 364 with Bluetooth RAM, 36 hours storage, and a False battery."
365,Smartwatch 365,smartwatch,254802.8,BrandD,Model K36,Bluetooth,36 hours,False,"BrandD Smartwatch 365 with Bluetooth RAM, 36 hours storage, and a False battery."
366,Smartwatch 366,smartwatch,400618.4,BrandW,Model E92,Wi-Fi,48 hours,True,"BrandW Smartwatch 366 with Wi-Fi RAM, 48 hours storage, and a True battery."
367,Smartwatch 367,smartwatch,152672.8,BrandV,Model V48,Wi-Fi,48 hours,True,"BrandV Smartwatch 367 with Wi-Fi RAM, 48 hours storage, and a True battery."
368,Smartwatch 368,smartwatch,398076.0,BrandN,Model S30,Bluetooth,24 hours,True,"BrandN Smartwatch 368 with Bluetooth RAM, 24 hours storage, and a True battery."
369,Smartwatch 369,smartwatch,95166.4,BrandF,Model U58,Bluetooth,24 hours,True,"BrandF Smartwatch 369 with Bluetooth RAM, 24 hours storage, and a True battery."
370,Smartwatch 370,smartwatch,275732.8,BrandV,Model K15,Bluetooth,24 hours,True,"BrandV Smartwatch 370 with Bluetooth RAM, 24 hours storage, and a True battery."
371,Smartwatch 371,smartwatch,149004.8,BrandQ,Model O67,Bluetooth,24 hours,True,"BrandQ Smartwatch 371 with Bluetooth RAM, 24 hours storage, and a True battery."
372,Smartwatch 372,smartwatch,265501.6,BrandT,Model I67,Bluetooth,24 hours,True,"BrandT Smartwatch 372 with Bluetooth RAM, 24 hours storage, and a True battery."
373,Smartwatch 373,smartwatch,368986.8,BrandK,Model K74,Bluetooth,36 hours,False,"BrandK Smartwatch 373 with Bluetooth RAM, 36 hours storage, and a False battery."
374,Smartwatch 374,smartwatch,351372.0,BrandF,Model Y64,Wi-Fi,48 hours,True,"BrandF Smartwatch 374 with Wi-Fi RAM, 48 hours storage, and a True battery."
375,Smartwatch 375,smartwatch,402046.4,BrandD,Model B43,Bluetooth,36 hours,False,"BrandD Smartwatch 375 with Bluetooth RAM, 36 hours storage, and a False battery."
376,Smartwatch 376,smartwatch,27134.8,BrandS,Model A37,Bluetooth,36 hours,False,"BrandS Smartwatch 376 with Bluetooth RAM, 36 hours storage, and a False battery."
377,Smartwatch 377,smartwatch,412638.8,BrandY,Model U39,Bluetooth,36 hours,False,"BrandY Smartwatch 377 with Bluetooth RAM, 36 hours storage, and a False battery."
378,Smartwatch 378,smartwatch,199281.6,BrandL,Model N13,Bluetooth,24 hours,True,"BrandL Smartwatch 378 with Bluetooth RAM, 24 hours storage, and a True battery."
379,Smartwatch 379,smartwatch,338343.6,BrandY,Model C31,Wi-Fi,48 hours,True,"BrandY Smartwatch 379 with Wi-Fi RAM, 48 hours storage, and a True battery."
380,Smartwatch 380,smartwatch,172877.6,BrandQ,Model A8,Wi-Fi,48 hours,True,"BrandQ Smartwatch 380 with Wi-Fi RAM, 48 hours storage, and a True battery."
381,Smartwatch 381,smartwatch,394072.0,BrandO,Model T19,Wi-Fi,48 hours,True,"BrandO Smartwatch 381 with Wi-Fi RAM, 48 hours storage, and a True battery."
382,Smartwatch 382,smartwatch,190335.6,BrandG,Model B88,Bluetooth,36 hours,False,"BrandG Smartwatch 382 with Bluetooth RAM, 36 hours storage, and a False battery."
383,Smartwatch 383,smartwatch,118888.0,BrandM,Model Q93,Bluetooth,24 hours,True,"BrandM Smartwatch 383 with Bluetooth RAM, 24 hours storage, and a True battery."
384,Smartwatch 384,smartwatch,297486.0,BrandA,Model L47,Bluetooth,36 hours,False,"BrandA Smartwatch 384 with Bluetooth RAM, 36 hours storage, and a False battery."
385,Smartwatch 385,smartwatch,244986.0,BrandQ,Model R80,Wi-Fi,48 hours,True,"BrandQ Smartwatch 385 with Wi-Fi RAM, 48 hours storage, and a True battery."
386,Smartwatch 386,smartwatch,182445.2,BrandH,Model X35,Wi-Fi,48 hours,True,"BrandH Smartwatch 386 with Wi-Fi RAM, 48 hours storage, and a True battery."
387,Smartwatch 387,smartwatch,335501.6,BrandX,Model F99,Bluetooth,24 hours,True,"BrandX Smartwatch 387 with Bluetooth RAM, 24 hours storage, and a True battery."
388,Smartwatch 388,smartwatch,277410.0,BrandM,Model A21,Bluetooth,36 hours,False,"BrandM Smartwatch 388 with Bluetooth RAM, 36 hours storage, and a False battery."
389,Smartwatch 389,smartwatch,133176.4,BrandG,Model A72,Wi-Fi,48 hours,True,"BrandG Smartwatch 389 with Wi-Fi RAM, 48 hours storage, and a True battery."
390,Smartwatch 390,smartwatch,411381.6,BrandE,Model X33,Bluetooth,24 hours,True,"BrandE Smartwatch 390 with Bluetooth RAM, 24 hours storage, and a True battery."
391,Smartwatch 391,smartwatch,393013.6,BrandO,Model K27,Wi-Fi,48 hours,True,"BrandO Smartwatch 391 with Wi-Fi RAM, 48 hours storage, and a True battery."
392,Smartwatch 392,smartwatch,355482.4,BrandD,Model S42,Bluetooth,24 hours,True,"BrandD Smartwatch 392 with Bluetooth RAM, 24 hours storage, and a True battery."
393,Smartwatch 393,smartwatch,201364.8,BrandI,Model M6,Bluetooth,24 hours,True,"BrandI Smartwatch 393 with Bluetooth RAM, 24 hours storage, and a True battery."
394,Smartwatch 394,smartwatch,43643.6,BrandV,Model W63,Wi-Fi,48 hours,True,"BrandV Smartwatch 394 with Wi-Fi RAM, 48 hours storage, and a True battery."
395,Smartwatch 395,smartwatch,39779.6,BrandE,Model W27,Bluetooth,36 hours,False,"BrandE Smartwatch 395 with Bluetooth RAM, 36 hours storage, and a False battery."
396,Smartwatch 396,smartwatch,384115.2,BrandC,Model H10,Wi-Fi,48 hours,True,"BrandC Smartwatch 396 with Wi-Fi RAM, 48 hours storage, and a True battery."
397,Smartwatch 397,smartwatch,45556.0,BrandH,Model E17,Bluetooth,24 hours,True,"BrandH Smartwatch 397 with Bluetooth RAM, 24 hours storage, and a True battery."
398,Smartwatch 398,smartwatch,146370.0,BrandS,Model H45,Wi-Fi,48 hours,True,"BrandS Smartwatch 398 with Wi-Fi RAM, 48 hours storage, and a True battery."
399,Smartwatch 399,smartwatch,41171.2,BrandC,Model E89,Bluetooth,24 hours,True,"BrandC Smartwatch 399 with Bluetooth RAM, 24 hours storage, and a True battery."
400,Smartwatch 400,smartwatch,297600.8,BrandP,Model N59,Wi-Fi,48 hours,True,"BrandP Smartwatch 400 with Wi-Fi RAM, 48 hours storage, and a True battery."